,date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
35,2013-04-13,"MA Chidambaram Stadium, Chepauk",2,166,Chennai Super Kings,1,0,1,0,1,0,0,,,,,,7,3,0,1,0,0,0,0,0,,,,,,,6,1,0,0,0,1,0,1,0,,,,,,,6,2,0,2,2,0,0,0,0,,,,,,,6,4,0,1,0,1,0,4,0,1,,,,,,7,7,0,4,1,1,4,4,0,,,,,,,6,14,0
36,2018-04-21,M.Chinnaswamy Stadium,1,,Delhi Daredevils,0,1,0,0,0,0,,,,,,,6,1,0,1,0,2,1,1,1,,,,,,,6,6,0,0,0,0,0,0,1,,,,,,,6,1,0,0,1,0,1,1,0,0,,,,,,7,3,0,1,1,4,0,4,1,,,,,,,6,11,0,0,1,0,0,4,1,,,,,,,6,6,0
37,2018-04-21,M.Chinnaswamy Stadium,2,176,Royal Challengers Bangalore,0,0,4,0,1,0,,,,,,,6,5,0,0,1,2,0,1,0,0,,,,,,7,4,0,1,1,1,1,1,1,,,,,,,6,6,0,0,1,1,6,0,1,,,,,,,6,9,0,1,4,0,0,4,4,,,,,,,6,13,0,0,0,0,6,0,0,,,,,,,6,6,0
38,2011-04-30,Nehru Stadium,1,,Delhi Daredevils,1,0,0,2,0,0,1,,,,,,7,4,0,0,0,0,0,0,0,,,,,,,6,0,0,0,0,2,4,0,1,,,,,,,6,7,0,1,0,1,4,0,1,1,,,,,,7,8,0,4,2,0,2,0,4,,,,,,,6,12,0,0,1,1,1,0,0,0,,,,,,7,3,0
39,2011-04-30,Nehru Stadium,2,119,Kochi Tuskers Kerala,1,0,1,1,0,0,,,,,,,6,3,0,4,1,1,0,1,0,,,,,,,6,7,0,5,0,1,1,0,1,0,,,,,,7,8,0,4,0,0,4,0,1,,,,,,,6,9,0,0,1,0,1,0,0,,,,,,,6,2,0,4,0,0,4,0,0,,,,,,,6,8,0
40,2010-04-02,"Punjab Cricket Association Stadium, Mohali",1,,Kings XI Punjab,0,0,0,0,0,1,,,,,,,6,1,0,1,1,0,0,4,1,,,,,,,6,7,0,0,0,4,4,1,0,,,,,,,6,9,0,4,1,4,0,0,4,,,,,,,6,13,0,1,0,0,4,1,0,,,,,,,6,6,0,0,0,1,0,0,4,,,,,,,6,5,0
41,2010-04-02,"Punjab Cricket Association Stadium, Mohali",2,184,Royal Challengers Bangalore,0,0,2,1,1,1,,,,,,,6,5,0,0,2,2,0,1,0,0,,,,,,7,5,0,1,4,0,2,1,1,,,,,,,6,9,0,0,0,4,1,4,0,,,,,,,6,9,0,0,4,1,2,1,4,,,,,,,6,12,0,1,1,4,1,0,4,,,,,,,6,11,0
42,2013-04-11,Subrata Roy Sahara Stadium,1,,Rajasthan Royals,0,0,0,1,2,4,,,,,,,6,7,0,0,0,4,2,1,0,,,,,,,6,7,0,0,0,1,4,0,1,0,,,,,,7,6,0,0,4,1,1,4,0,,,,,,,6,10,0,4,0,1,0,4,1,,,,,,,6,10,0,0,1,0,1,1,1,,,,,,,6,4,0
43,2013-04-11,Subrata Roy Sahara Stadium,2,148,Pune Warriors,0,1,1,0,4,0,0,,,,,,7,6,0,0,1,0,0,0,6,,,,,,,6,7,0,4,4,1,6,1,1,,,,,,,6,17,0,6,2,5,6,1,1,0,,,,,,7,21,0,1,1,4,1,0,0,,,,,,,6,7,0,0,4,0,1,1,0,,,,,,,6,6,0
44,2013-04-14,Eden Gardens,1,,Kolkata Knight Riders,0,0,0,1,1,1,,,,,,,6,3,0,4,4,1,2,0,4,,,,,,,6,15,0,0,1,3,1,0,1,,,,,,,6,6,0,2,0,1,0,4,0,,,,,,,6,7,0,1,4,4,0,1,1,,,,,,,6,11,0,4,1,0,0,1,0,,,,,,,6,6,0
